qUgWLDqYHSxnHHaLfLBZgQ,
ipZQKv2MQVjl1z4gpUhyZA,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’16

                

    ’15

                

    ’14

                

    ’13

        "
mORG9FvZ5YtorpYaZZhMCw,
yP7isaqdIfvz_nPdpSNKJA,"
                

    Elite 2016

        "
F0-oSz_UX5szQD1hhxnrGw,
pf3PxVmuZsr345YTUFs9KQ,"
                

    Elite 2016

                

    ’15

        "
GE0xrUJoIMjk1gbFyEK2Kg,
ClZQLZlWgXWfWoOVbxJ9Vg,"
                

    Elite 2014

                

    ’13

                

    ’12

                

    ’11

        "
47f21XiNtNr2lRjCTbDPvA,
Xwi2Z2bSZuX545R3fKhq8A,
nfZT_DvNRARS-Wu0sbL0ag,
xGMHbn8ixTJ9YbLPKvo8wA,
4oGPb1EVk9eowdsFB48CHA,
Oq4_pN7h_pqg5Y8TCR8itA,
wqtC2Q4DZidCktKWjP09Ew,
qb1vQ5nLmS60YUqw7rnBmQ,
on3Wj9gxs6HLtmILBTvChQ,
ryWOpTDUPVMLpBkdIuTtcg,
2vcI5bKuVgvTGrpO11Te7w,
0EaqmSXGDJNZOBQoiV0BsQ,
H183Fg4ku9mIQsmAa0fsOQ,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

                

    ’11

                
                    
    
        
    

                    
                        1 more year as an Elite
                    
                
        "
VvA-as_19oHY9Ghk2xMe2Q,
uEbSYoEvYarKNm8aKFaPJQ,
s61erVZuIJVmIsOIjXCZuw,
bPl7iZmAuPf2oh3R6XoRMQ,
utzLUmjVzQzXSJlWXxBDag,"
                

    Elite 2019

                

    ’18

                

    ’17

                

    ’16

        "
pvFT2FQtX57A6EqnblHECw,"
                

    Elite 2017

                

    ’16

        "
EXkM65SRwSYFe8eEjH8KPw,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

        "
ddPkNUNPtp-aaqjUgsTxBQ,"
                

    Elite 2017

                

    ’16

                

    ’15

        "
PFb95-drMebIHukmG-F_cQ,
lRMjSxpkKp9fu9VL0F9rbw,
JhbSPGTQt9t24nFQZhCs1A,
BelL1Sp0aA-x1qNKtehp0g,
UETH-ABQy3UIBqdGnvy6vA,
G7005A0sedkHURhrnLQpTg,"
                

    Elite 2016

                

    ’15

        "
fyld5UaRhka2DZyp1d6FXA,
n0K-YWuQGaaGZwL_Zr0JXA,
RITSvTejEccuRAiTj2BF5w,
9J7ifUhXuHiW4hsWiMt6zA,"
                

    Elite 2017

                

    ’16

        "
uQDBu4XB4ZF_1M443kHNLQ,
nY9eEoPx62SxTwj1JbPrSg,"
                

    Elite 2013

                

    ’12

                

    ’11

                

    ’10

                

    ’07

        "
WEBY_pFBjrGZdkm4LhpvnQ,
KmlMJWrhJ528dhT0jDWPtg,
xEXQBoPjAoYYj9xdPx7nEA,
y46MS-ZA8UyHaVP3PpI3Ww,"
                

    Elite 2018

                

    ’17

        "
1NSZWiBirW8sk4nPSqRMfg,
FeP7XAXfOkZ1XGUvd6xqug,
eTmQbq9ZrL3mvhA55ppmHQ,"
                

    Elite 2013

                

    ’12

                

    ’11

                

    ’10

        "
9fR_DPKszDfKOPpJjl9Tuw,
0aBTYXlP3z5nJ7okTARj8A,
bCnuwHH7FeMedui-5klNUA,
uTPW_r-BFHJ6J43yzgdl7A,"
                

    Elite 2013

                

    ’12

                

    ’11

                

    ’10

                

    ’09

        "
2o68NBEIqFdT4s5M7ExOLQ,
xGsJx8azn2CPk9ezOH09DA,
77GljrYbcstiQVfHhoWg9A,
vgMMy_-98J23EODERHRVLg,
pYv9au9tHUkMXruJwTJ_Ig,
wKlDJ33Q69509pCwFQX3uQ,
SD7yJgQV_vdtn1LOJF1qwQ,
N1LbpoG427e3ME8LXaXqzQ,
8gJvlMLQOf8jBZkv9XNE7A,
yCEFoyKQOMD6TRJaG0BEUQ,"
                

    Elite 2011

                

    ’10

                

    ’09

        "
cq53-QQUNqjFUl0YxZD_yw,
CnggisYon0w2B3AwEWSN_w,
NAJgBheNVQ6DudaLCBrJyw,
P8uVRiBUUmQbJVvLCO5WZg,
Y1lLdXGikH4a_HCUYdReVw,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

        "
wPMCH1sANtP7EnOPs6Wxsw,
dhSCLCyiq8UyPZbNFJZnZA,
G1Q-uyYF2roZEeTcBYfXYQ,
N5E3KDv9O5lsHfG7f8YvHg,
qvPTw-ArHYI1n1n0cw3S7A,"
                

    Elite 2020

                

    ’19

                

    ’18

        "
W1gO_eI8Jh_FDvnCvJDRYg,"
                

    Elite 2007

        "
yaUoeXc6KKQLqWos0QUlzw,
32FQlI7taB9VXfGrdYjMQA,
QOPynttPn0m-AWqTEa_zpw,
r4sY-L0PSxG5i379gzqCbQ,
D2-EP79EwhTBcY5YYrVzPg,
kUledtpACvsLng2WKDfksA,
